id,long,lat,averageDistance,nbSpeakers
1616,-43.181664,-22.915505,0.000000,2
1628,-43.374080,-22.973433,0.000000,2
1631,7.659028,48.546746,0.000000,3
1642,48.003117,37.960245,0.000000,2
1649,2.419261,48.763596,0.000000,3
1657,2.509954,48.877617,0.000000,3
1666,107.466613,-6.861408,0.000000,3
1671,-5.296471,34.474566,0.000000,2
1673,-48.089227,-15.827395,0.000000,3
1690,6.133330,46.183300,0.000000,2
1693,4.879962,45.810720,0.000000,2
1710,-2.257931,47.262271,0.000000,2
1731,-2.218083,53.563579,0.000000,2
1733,4.311457,50.905457,0.000000,2
1747,-46.595546,-23.682803,0.000000,2
1756,-54.850424,-26.828875,0.000000,5
1764,12.573501,41.292651,0.000000,2
1765,-0.566710,48.473164,629.648661,59396
1770,-68.156975,-38.953646,0.000000,2
1771,2.248321,48.905267,0.000000,2
2685,2.339742,48.884298,0.000000,2
1776,-1.197044,50.854654,0.000000,2
1787,9.147230,45.492920,0.000000,3
1796,-2.985664,35.157241,0.000000,2
1814,2.334146,48.861395,0.000000,2
1817,5.170427,48.762060,0.000000,2
1829,-2.219915,31.625453,0.000000,2
1840,8.970778,45.059335,0.000000,2
1843,-50.041057,-29.798614,0.000000,2
1854,0.433115,40.415546,0.000000,2
1855,-46.609465,-23.612015,0.000000,3
1864,8.966205,49.789046,0.000000,2
1867,-56.704672,-33.451731,9.579069,2
1870,3.626528,43.601936,0.000000,6
1871,-6.916355,35.714069,0.000000,4
1876,-18.149245,34.589397,0.000000,2
1886,-0.953737,53.077519,0.000000,2
1907,-4.171240,39.785252,0.000000,2
1910,-0.173502,49.123627,0.000000,4
1935,0.391781,49.414965,0.000000,2
1938,12.597393,41.500777,0.000000,2
1939,-64.225704,-31.410310,2.217264,3
1947,2.407755,49.000154,0.000000,2
1966,8.681995,49.905323,0.000000,2
1974,-100.267491,25.693569,0.000000,2
1986,7.717009,36.875105,0.000000,4
1992,2.649534,50.446779,0.000000,2
1999,2.930092,47.438136,0.000000,2
2382,-5.868163,35.759352,0.000000,2
2011,-58.501795,-34.645571,0.899525,2
2012,0.020610,51.520321,0.000000,12
2037,2.803541,50.210630,0.000000,2
2041,-56.276550,-34.532884,0.000000,6
2042,-2.650255,53.560381,0.000000,2
2043,103.060288,5.426143,0.000000,2
2047,-69.993633,18.472130,0.000000,2
